pathway_name,pathway_source,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites
Chloroprocaine Action Pathway,SMPDB,1,HMDB0015292,11 (11),0.714,1
Dibucaine Action Pathway,SMPDB,1,HMDB0014668,11 (11),0.714,1
Diltiazem Action Pathway,SMPDB,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,11 (11),0.714,1
Propranolol Action Pathway,SMPDB,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,11 (11),0.714,1
Oxprenolol Action Pathway,SMPDB,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,11 (11),0.714,1
Metoprolol Action Pathway,SMPDB,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,11 (11),0.714,1
Esmolol Action Pathway,SMPDB,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,11 (11),0.714,1
Bisoprolol Action Pathway,SMPDB,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,11 (11),0.714,1
Propoxyphene Action Pathway,SMPDB,1,HMDB0014785,11 (11),0.714,1
Tramadol Action Action Pathway,SMPDB,1,HMDB0014339,11 (11),0.714,1
Prilocaine Action Pathway,SMPDB,1,HMDB0014888,11 (11),0.714,1
Nebivolol Action Pathway,SMPDB,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,11 (11),0.714,1
Amlodipine Action Pathway,SMPDB,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,11 (11),0.714,1
Verapamil Action Pathway,SMPDB,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,11 (11),0.714,1
Doxepin Metabolism Pathway,SMPDB,1,HMDB0015273,11 (11),0.714,1
Nitrendipine Action Pathway,SMPDB,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,11 (11),0.714,1
Nisoldipine Action Pathway,SMPDB,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,11 (11),0.714,1
Nimodipine Action Pathway,SMPDB,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,11 (11),0.714,1
Ibutilide Action Pathway,SMPDB,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,11 (11),0.714,1
Flecainide Action Pathway,SMPDB,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,11 (11),0.714,1
Taurine and Hypotaurine Metabolism,SMPDB,1,HMDB0011182,11 (12),0.714,1
Isradipine Action Pathway,SMPDB,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,11 (11),0.714,1
Nifedipine Action Pathway,SMPDB,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,11 (11),0.714,1
Nadolol Action Pathway,SMPDB,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,11 (11),0.714,1
Carvedilol Action Pathway,SMPDB,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,11 (11),0.714,1
Labetalol Action Pathway,SMPDB,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,11 (11),0.714,1
Branched-chain amino acid catabolism,Reactome,3,HMDB0001052;HMDB0000172;HMDB0000687,34 (39),0.724,1
Valine_ leucine and isoleucine degradation - Homo sapiens (human),KEGG,3,HMDB0001052;HMDB0000172;HMDB0000687,34 (42),0.724,1
<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation,HumanCyc,3,HMDB0000123;HMDB0000172;HMDB0000687,34 (35),0.724,1
Class C/3 (Metabotropic glutamate/pheromone receptors),Reactome,3,HMDB0015464;HMDB0036836;HMDB0033941,34 (54),0.724,1
N-Glycan biosynthesis,EHMN,2,HMDB0000290;HMDB0001445,23 (51),0.725,1
Vitamin A (retinol) metabolism,EHMN,2,HMDB0006216;HMDB0008843#HMDB0009152#HMDB0009150#HMDB0009363#HMDB0009557#HMDB0009556#HMDB0009571#HMDB0008976#HMDB0008974,23 (28),0.725,1
Organic cation transport,Reactome,2,HMDB0015169;HMDB0015282,23 (28),0.725,1
tRNA modification in the nucleus and cytosol,Reactome,2,HMDB0001495;HMDB0033934,23 (48),0.725,1
Tryptophan degradation,INOH,5,HMDB0062259;HMDB0004369;HMDB0000123;HMDB0033934;HMDB0000472,56 (62),0.734,1
Folate Metabolism,Wikipathways,5,HMDB0000067;HMDB0000123;HMDB0003208;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741;HMDB0000244,56 (66),0.734,1
Signaling by Receptor Tyrosine Kinases,Reactome,3,HMDB0000693;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0000304,35 (53),0.742,1
Central carbon metabolism in cancer - Homo sapiens (human),KEGG,3,HMDB0000123;HMDB0000172;HMDB0000687,35 (37),0.742,1
Vitamin B6-dependent and responsive disorders,Wikipathways,1,HMDB0000279,12 (19),0.745,1
Regucalcin in proximal tubule epithelial kidney cells,Wikipathways,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,12 (22),0.745,1
RHO GTPases Activate NADPH Oxidases,Reactome,1,HMDB0001043,12 (14),0.745,1
Chondroitin sulfate/dermatan sulfate metabolism,Reactome,1,HMDB0000304,12 (24),0.745,1
phytol degradation,HumanCyc,1,HMDB0002019,12 (14),0.745,1
Dopamine clearance from the synaptic cleft,Reactome,1,HMDB0033934,12 (13),0.745,1
Signaling by NOTCH,Reactome,1,HMDB0000290,12 (13),0.745,1
adenine and adenosine salvage III,HumanCyc,1,HMDB0000195,12 (12),0.745,1
Pancreatic secretion - Homo sapiens (human),KEGG,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,12 (15),0.745,1
Keratan sulfate/keratin metabolism,Reactome,1,HMDB0000290,12 (19),0.745,1
FMO oxidises nucleophiles,Reactome,1,HMDB0014813,12 (13),0.745,1
glutaryl-CoA degradation,HumanCyc,1,HMDB0062259,12 (12),0.745,1
Plasmalogen biosynthesis,Reactome,1,HMDB0062325,12 (12),0.745,1
HIV Infection,Reactome,1,HMDB0033934,12 (19),0.745,1
Fatty acids,Reactome,1,HMDB0001043,12 (14),0.745,1
Thromboxane A2 receptor signaling,PID,1,HMDB0003208,12 (12),0.745,1
Visual signal transduction: Cones,PID,1,HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,12 (14),0.745,1
Dopaminergic synapse - Homo sapiens (human),KEGG,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,12 (12),0.745,1
Metabolism of Angiotensinogen to Angiotensins,Reactome,1,HMDB0060579,12 (28),0.745,1
heme degradation,HumanCyc,1,HMDB0000054,12 (12),0.745,1
Fosphenytoin (Antiarrhythmic) Action Pathway,SMPDB,1,HMDB0010139#HMDB0010126#HMDB0010083#HMDB0009947#HMDB0009779#HMDB0010131#HMDB0010106#HMDB0010107#HMDB0010142#HMDB0010049#HMDB0010050#HMDB0010058#HMDB0010096#HMDB0010097#HMDB0010084#HMDB0009970#HMDB0010138#HMDB0010135#HMDB0010134#HMDB0010146#HMDB0010145,12 (12),0.745,1
Tramadol Metabolism Pathway,SMPDB,1,HMDB0014339,12 (12),0.745,1
Glutathione metabolism,Wikipathways,1,HMDB0000123,12 (19),0.745,1
SLC-mediated transmembrane transport,Reactome,13,HMDB0000036;HMDB0000951;HMDB0240251;HMDB0000123;HMDB0000172;HMDB0000195;HMDB0000043;HMDB0000290;HMDB0015169;HMDB0000138;HMDB0015282;HMDB0000687;HMDB0000304,139 (164),0.746,1
RHO GTPase Effectors,Reactome,2,HMDB0000234;HMDB0001043,24 (29),0.746,1
Signaling by Rho GTPases,Reactome,2,HMDB0000234;HMDB0001043,24 (29),0.746,1
Signaling by Rho GTPases_ Miro GTPases and RHOBTB3,Reactome,2,HMDB0000234;HMDB0001043,24 (29),0.746,1
alpha-Linolenic acid metabolism - Homo sapiens (human),KEGG,2,HMDB0001388;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,24 (44),0.746,1
Platelet homeostasis,Reactome,2,HMDB0000067;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741,24 (28),0.746,1
triacylglycerol biosynthesis,HumanCyc,2,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,24 (43),0.746,1
Innate Immune System,Reactome,5,HMDB0000067;HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112;HMDB0029931;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741;HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,57 (119),0.748,1
Histidine metabolism - Homo sapiens (human),KEGG,3,HMDB0004181;HMDB0012276;HMDB0003665,36 (47),0.759,1
Valine Leucine Isoleucine degradation,INOH,3,HMDB0001052;HMDB0000172;HMDB0000687,36 (40),0.759,1
Arginine Proline metabolism,INOH,5,HMDB0000725;HMDB0002064;HMDB0000123;HMDB0033934;HMDB0002104,58 (68),0.762,1
sarcosine oncometabolite pathway ,SMPDB,2,HMDB0000123;HMDB0000043,25 (26),0.767,1
Serine Metabolism,Wikipathways,1,HMDB0004949,13 (27),0.772,1
Serotonin clearance from the synaptic cleft,Reactome,1,HMDB0033934,13 (13),0.772,1
Synthesis of 5-eicosatetraenoic acids,Reactome,1,HMDB0001043,13 (17),0.772,1
nicotine degradation III,HumanCyc,1,HMDB0001934,13 (24),0.772,1
proline biosynthesis,HumanCyc,1,HMDB0002104,13 (14),0.772,1
Beta oxidation of hexanoyl-CoA to butanoyl-CoA,Reactome,1,HMDB0003944,13 (13),0.772,1
CMP-<i>N</i>-acetylneuraminate biosynthesis I (eukaryotes),HumanCyc,1,HMDB0000290,13 (15),0.772,1
eicosapentaenoate biosynthesis,HumanCyc,1,HMDB0001388,13 (17),0.772,1
UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis II,HumanCyc,1,HMDB0000290,13 (16),0.772,1
folate polyglutamylation,HumanCyc,1,HMDB0000123,13 (13),0.772,1
Synthesis of DNA,Reactome,1,HMDB0001342,13 (15),0.772,1
Glutathione synthesis and recycling,Reactome,1,HMDB0000123,13 (14),0.772,1
Ion transport by P-type ATPases,Reactome,1,HMDB0008843#HMDB0009152#HMDB0009150#HMDB0009363#HMDB0009557#HMDB0009556#HMDB0009571#HMDB0008976#HMDB0008974,13 (17),0.772,1
Collagen formation,Reactome,1,HMDB0033934,13 (16),0.772,1
Gastric acid secretion - Homo sapiens (human),KEGG,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,13 (14),0.772,1
HIF-1 signaling pathway - Homo sapiens (human),KEGG,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,13 (15),0.772,1
adenosine nucleotides degradation,HumanCyc,1,HMDB0000195,13 (13),0.772,1
Serine biosynthesis,Reactome,1,HMDB0033934,13 (15),0.772,1
Processive synthesis on the C-strand of the telomere,Reactome,1,HMDB0001342,13 (17),0.772,1
Aflatoxin activation and detoxification,Reactome,1,HMDB0000123,13 (25),0.772,1
Fc Epsilon Receptor I Signaling in Mast Cells,SMPDB,1,HMDB0001043,13 (13),0.772,1
Heroin Action Pathway,SMPDB,1,HMDB0041812,13 (14),0.772,1
estradiol biosynthesis I,HumanCyc,1,HMDB0000145,13 (13),0.772,1
Tryptophan metabolism - Homo sapiens (human),KEGG,5,HMDB0062259;HMDB0004095;HMDB0004369;HMDB0004259;HMDB0000472,59 (83),0.775,1
Aminosugars metabolism,EHMN,3,HMDB0000290;HMDB0013112;HMDB0033934,37 (43),0.776,1
Lysine Degradation,SMPDB,2,HMDB0001166;HMDB0000279,26 (27),0.786,1
Hyperlysinemia I_ Familial,SMPDB,2,HMDB0001166;HMDB0000279,26 (27),0.786,1
2-aminoadipic 2-oxoadipic aciduria,SMPDB,2,HMDB0001166;HMDB0000279,26 (27),0.786,1
Pyridoxine dependency with seizures,SMPDB,2,HMDB0001166;HMDB0000279,26 (27),0.786,1
Saccharopinuria/Hyperlysinemia II,SMPDB,2,HMDB0001166;HMDB0000279,26 (27),0.786,1
tRNA processing,Reactome,2,HMDB0001495;HMDB0033934,26 (52),0.786,1
Glutaric Aciduria Type I,SMPDB,2,HMDB0001166;HMDB0000279,26 (27),0.786,1
Hyperlysinemia II or Saccharopinuria,SMPDB,2,HMDB0001166;HMDB0000279,26 (27),0.786,1
Histidine degradation,INOH,2,HMDB0004181;HMDB0033934,26 (28),0.786,1
Amino sugar and nucleotide sugar metabolism - Homo sapiens (human),KEGG,4,HMDB0000290;HMDB0012305;HMDB0013112;HMDB0000304,49 (108),0.788,1
DNA Repair,Reactome,3,HMDB0001342;HMDB0001178;HMDB0011600,38 (54),0.791,1
Purine catabolism,Reactome,3,HMDB0000195;HMDB0001178;HMDB0000189,38 (51),0.791,1
Valproic acid pathway,Wikipathways,1,HMDB0060682,14 (14),0.797,1
Tyrosine Metabolism,Wikipathways,1,HMDB0001149,14 (17),0.797,1
Phenylalanine degradation,INOH,1,HMDB0033934,14 (14),0.797,1
catecholamine biosynthesis,HumanCyc,1,HMDB0002281,14 (16),0.797,1
Vitamin B2 (riboflavin) metabolism,EHMN,1,HMDB0000244,14 (14),0.797,1
Abacavir metabolism,Reactome,1,HMDB0000195,14 (18),0.797,1
Beta oxidation of butanoyl-CoA to acetyl-CoA,Reactome,1,HMDB0062259,14 (14),0.797,1
Galactose metabolism,INOH,1,HMDB0035312,14 (15),0.797,1
glutathione-mediated detoxification,HumanCyc,1,HMDB0000123,14 (14),0.797,1
Riboflavin metabolism - Homo sapiens (human),KEGG,1,HMDB0000244,14 (20),0.797,1
Phosphonate and phosphinate metabolism - Homo sapiens (human),KEGG,1,HMDB0000123,14 (56),0.797,1
isoleucine degradation,HumanCyc,1,HMDB0000172,14 (16),0.797,1
Mineralocorticoid biosynthesis,Reactome,1,HMDB0001547,14 (14),0.797,1
DNA Replication,Reactome,1,HMDB0001342,14 (17),0.797,1
Thiamine metabolism - Homo sapiens (human),KEGG,1,HMDB0000123,14 (31),0.797,1
Wax and plasmalogen biosynthesis,Reactome,1,HMDB0062325,14 (18),0.797,1
Tolerance by Mtb to nitric oxide produced by macrophages,Reactome,1,HMDB0033934,14 (26),0.797,1
Phosphate bond hydrolysis by NUDT proteins,Reactome,1,HMDB0001178,14 (24),0.797,1
purine ribonucleosides degradation to ribose-1-phosphate,HumanCyc,1,HMDB0000195,14 (15),0.797,1
RHO GTPases activate PKNs,Reactome,1,HMDB0000234,14 (15),0.797,1
Plasmalogen Synthesis,SMPDB,1,HMDB0002350,14 (14),0.797,1
Serotonin and melatonin biosynthesis,Reactome,1,HMDB0000472,14 (16),0.797,1
Phenylalanine and Tyrosine Metabolism,SMPDB,2,HMDB0033934;HMDB0002281,27 (28),0.803,1
Phenylketonuria,SMPDB,2,HMDB0033934;HMDB0002281,27 (28),0.803,1
Tyrosinemia Type 3 (TYRO3),SMPDB,2,HMDB0033934;HMDB0002281,27 (28),0.803,1
Tyrosinemia Type 2 (or Richner-Hanhart syndrome),SMPDB,2,HMDB0033934;HMDB0002281,27 (28),0.803,1
Phosphatidylinositol phosphate metabolism,EHMN,3,HMDB0000290;HMDB0011669;HMDB0008843#HMDB0009152#HMDB0009150#HMDB0009363#HMDB0009557#HMDB0009556#HMDB0009571#HMDB0008976#HMDB0008974,39 (48),0.806,1
Tyrosinemia_ transient_ of the newborn,SMPDB,5,HMDB0001229;HMDB0000318;HMDB0033934;HMDB0002281;HMDB0004067,62 (67),0.812,1
Dopamine beta-hydroxylase deficiency,SMPDB,5,HMDB0001229;HMDB0000318;HMDB0033934;HMDB0002281;HMDB0004067,62 (67),0.812,1
Tyrosine Metabolism,SMPDB,5,HMDB0001229;HMDB0000318;HMDB0033934;HMDB0002281;HMDB0004067,62 (67),0.812,1
Alkaptonuria,SMPDB,5,HMDB0001229;HMDB0000318;HMDB0033934;HMDB0002281;HMDB0004067,62 (67),0.812,1
Monoamine oxidase-a deficiency (MAO-A),SMPDB,5,HMDB0001229;HMDB0000318;HMDB0033934;HMDB0002281;HMDB0004067,62 (67),0.812,1
Hawkinsinuria,SMPDB,5,HMDB0001229;HMDB0000318;HMDB0033934;HMDB0002281;HMDB0004067,62 (67),0.812,1
Tyrosinemia Type I,SMPDB,5,HMDB0001229;HMDB0000318;HMDB0033934;HMDB0002281;HMDB0004067,62 (67),0.812,1
Vitamin B12 metabolism,Wikipathways,4,HMDB0000067;HMDB0003208;HMDB0000244;HMDB0005383#HMDB0005410#HMDB0045873#HMDB0005459#HMDB0005454#HMDB0005437#HMDB0005424#HMDB0005440#HMDB0005376#HMDB0005403#HMDB0005388#HMDB0005390#HMDB0005393#HMDB0005442#HMDB0005363#HMDB0005397#HMDB0045741,51 (61),0.814,1
Cysteine and methionine catabolism,Wikipathways,1,HMDB0000043,15 (39),0.819,1
GABA synthesis_ release_ reuptake and degradation,Reactome,1,HMDB0000043,15 (17),0.819,1
Omega-3 fatty acid metabolism,EHMN,1,HMDB0001388,15 (16),0.819,1
RA biosynthesis pathway,Reactome,1,HMDB0006216,15 (17),0.819,1
4-hydroxyproline degradation,HumanCyc,1,HMDB0240251,15 (17),0.819,1
Creatine metabolism,Reactome,1,HMDB0000123,15 (15),0.819,1
Abacavir transport and metabolism,Reactome,1,HMDB0000195,15 (19),0.819,1
Chromatin modifying enzymes,Reactome,1,HMDB0033934,15 (17),0.819,1
serine and glycine biosynthesis,HumanCyc,1,HMDB0000123,15 (15),0.819,1
Transport to the Golgi and subsequent modification,Reactome,1,HMDB0000290,15 (37),0.819,1
ornithine <i>de novo </i> biosynthesis,HumanCyc,1,HMDB0002104,15 (15),0.819,1
RAS processing,Reactome,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,15 (19),0.819,1
putrescine degradation III,HumanCyc,1,HMDB0002064,15 (15),0.819,1
Chromatin organization,Reactome,1,HMDB0033934,15 (17),0.819,1
Proximal tubule bicarbonate reclamation - Homo sapiens (human),KEGG,1,HMDB0033934,15 (17),0.819,1
Salivary secretion - Homo sapiens (human),KEGG,1,HMDB0007100#HMDB0007101#HMDB0007248#HMDB0007156#HMDB0007112,15 (17),0.819,1
PI Metabolism,Reactome,1,HMDB0008431#HMDB0008065#HMDB0008658#HMDB0008129#HMDB0008800#HMDB0000564#HMDB0007886#HMDB0008691#HMDB0008522#HMDB0007940#HMDB0008145#HMDB0008400#HMDB0008401#HMDB0008768#HMDB0008002#HMDB0008324#HMDB0008322#HMDB0008304,15 (29),0.819,1
Activation of NMDA receptors and postsynaptic events,Reactome,1,HMDB0000123,15 (17),0.819,1
PIP3 activates AKT signaling,Reactome,1,HMDB0000693,15 (21),0.819,1
Peptide hormone metabolism,Reactome,1,HMDB0060579,15 (31),0.819,1
Urea cycle and metabolism of amino groups,Wikipathways,2,HMDB0033934;HMDB0002104,28 (32),0.82,1
Glutamate Glutamine metabolism,INOH,2,HMDB0000123;HMDB0033934,28 (34),0.82,1
Butanoate metabolism - Homo sapiens (human),KEGG,2,HMDB0062259;HMDB0001166,28 (42),0.82,1
Phenylalanine metabolism - Homo sapiens (human),KEGG,3,HMDB0015451;HMDB0001943;HMDB0006344,40 (60),0.82,1
Glycosphingolipid metabolism,EHMN,3,HMDB0006734;HMDB0004949;HMDB0013462#HMDB0012103#HMDB0012092,40 (52),0.82,1
Fatty acid degradation - Homo sapiens (human),KEGG,3,HMDB0062259;HMDB0001166;HMDB0003944,40 (50),0.82,1
Ornithine Aminotransferase Deficiency (OAT Deficiency),SMPDB,4,HMDB0240251;HMDB0000123;HMDB0033934;HMDB0002104,52 (52),0.826,1
Hyperornithinemia with gyrate atrophy (HOGA),SMPDB,4,HMDB0240251;HMDB0000123;HMDB0033934;HMDB0002104,52 (52),0.826,1
Creatine deficiency_ guanidinoacetate methyltransferase deficiency,SMPDB,4,HMDB0240251;HMDB0000123;HMDB0033934;HMDB0002104,52 (52),0.826,1
L-arginine:glycine amidinotransferase deficiency,SMPDB,4,HMDB0240251;HMDB0000123;HMDB0033934;HMDB0002104,52 (52),0.826,1
Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome],SMPDB,4,HMDB0240251;HMDB0000123;HMDB0033934;HMDB0002104,52 (52),0.826,1
Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),SMPDB,4,HMDB0240251;HMDB0000123;HMDB0033934;HMDB0002104,52 (52),0.826,1
Prolinemia Type II,SMPDB,4,HMDB0240251;HMDB0000123;HMDB0033934;HMDB0002104,52 (52),0.826,1
Prolidase Deficiency (PD),SMPDB,4,HMDB0240251;HMDB0000123;HMDB0033934;HMDB0002104,52 (52),0.826,1
Arginine and Proline Metabolism,SMPDB,4,HMDB0240251;HMDB0000123;HMDB0033934;HMDB0002104,52 (52),0.826,1
Hyperprolinemia Type I,SMPDB,4,HMDB0240251;HMDB0000123;HMDB0033934;HMDB0002104,52 (52),0.826,1
Hyperprolinemia Type II,SMPDB,4,HMDB0240251;HMDB0000123;HMDB0033934;HMDB0002104,52 (52),0.826,1
